event_id,student_id,book_id,checkout_date,due_date,return_date,staff_id,channel
C-0026,S-410,B-032,2026-02-12,2026-02-26,2026-02-19,L-001,desk
C-0027,S-402,B-015,2026-02-13,2026-02-27,2026-02-20,L-001,desk
C-0028,S-507,B-013,2026-02-13,2026-02-27,2026-02-27,L-002,desk
C-0029,S-305,B-015,2026-02-16,2026-03-02,2026-03-02,L-002,desk
C-0030,S-303,B-043,2026-02-17,2026-03-03,2026-03-03,L-002,desk
C-0031,S-408,B-052,2026-02-17,2026-03-03,2026-03-10,L-001,desk
C-0032,S-501,B-021,2026-02-17,2026-03-03,2026-03-10,L-001,desk
C-0033,S-502,B-012,2026-02-17,2026-03-03,2026-03-10,L-001,desk
C-0034,S-306,B-063,2026-02-19,2026-03-05,2026-02-26,L-002,desk
C-0035,S-308,B-005,2026-02-20,2026-03-06,2026-03-06,L-001,desk
C-0036,S-306,B-008,2026-02-24,2026-03-10,2026-03-10,L-001,desk
C-0037,S-407,B-041,2026-02-24,2026-03-10,2026-03-10,L-001,desk
C-0038,S-305,B-015,2026-02-25,2026-03-11,2026-03-04,L-001,desk
C-0039,S-404,B-027,2026-02-25,2026-03-11,2026-03-04,L-002,desk
C-0040,S-304,B-034,2026-03-02,2026-03-16,2026-03-09,L-002,desk
C-0041,S-301,B-001,2026-03-06,2026-03-20,2026-03-13,L-001,desk
C-0042,S-306,B-003,2026-03-09,2026-03-23,2026-03-23,L-001,desk
C-0043,S-308,B-001,2026-03-10,2026-03-24,2026-03-31,L-001,desk
C-0044,S-503,B-055,2026-03-10,2026-03-24,2026-03-24,L-001,desk
C-0045,S-410,B-031,2026-03-16,2026-03-30,2026-03-30,L-002,desk
C-0046,S-501,B-023,2026-03-17,2026-03-31,2026-03-24,L-001,desk
C-0047,S-510,B-024,2026-03-17,2026-03-31,2026-03-24,L-002,desk
C-0048,S-506,B-030,2026-03-18,2026-04-01,2026-03-25,L-001,desk
C-0049,S-507,B-016,2026-03-18,2026-04-01,2026-03-25,L-002,desk
C-0050,S-505,B-022,2026-03-19,2026-04-02,2026-03-26,L-001,desk
C-0051,S-510,B-054,2026-03-19,2026-04-02,2026-04-09,L-001,desk
C-0052,S-303,B-042,2026-03-23,2026-04-06,2026-03-30,L-002,desk
C-0053,S-305,B-015,2026-03-23,2026-04-06,2026-04-13,L-002,desk
C-0054,S-501,B-034,2026-03-23,2026-04-06,2026-03-30,L-002,desk
C-0055,S-508,B-043,2026-03-23,2026-04-06,2026-04-06,L-001,desk
C-0056,S-505,B-045,2026-03-25,2026-04-08,2026-04-15,L-002,desk
C-0057,S-306,B-004,2026-03-26,2026-04-09,2026-04-09,L-001,desk
C-0058,S-406,B-002,2026-03-26,2026-04-09,2026-04-02,L-002,desk
C-0059,S-302,B-063,2026-03-27,2026-04-10,2026-04-03,L-002,desk
C-0060,S-505,B-040,2026-03-27,2026-04-10,2026-04-03,L-001,desk
C-0061,S-510,B-055,2026-03-27,2026-04-10,2026-04-10,L-001,desk
C-0062,S-304,B-034,2026-03-31,2026-04-14,2026-04-07,L-002,desk
C-0063,S-408,B-027,2026-03-31,2026-04-14,2026-04-14,L-002,desk
C-0064,S-304,B-034,2026-04-01,2026-04-15,2026-04-15,L-001,desk
C-0065,S-407,B-024,2026-04-01,2026-04-15,2026-04-08,L-002,desk
C-0066,S-406,B-004,2026-04-02,2026-04-16,2026-04-16,L-002,desk
C-0067,S-409,B-015,2026-04-02,2026-04-16,2026-04-09,L-002,desk
C-0068,S-503,B-052,2026-04-02,2026-04-16,2026-04-09,L-002,desk
C-0069,S-404,B-025,2026-04-03,2026-04-17,2026-04-17,L-002,desk
C-0070,S-507,B-008,2026-04-03,2026-04-17,2026-04-17,L-001,desk
C-0071,S-406,B-005,2026-04-06,2026-04-20,2026-04-20,L-001,desk
C-0072,S-504,B-001,2026-04-06,2026-04-20,2026-04-20,L-001,desk
C-0073,S-505,B-043,2026-04-06,2026-04-20,2026-04-20,L-001,desk
C-0074,S-504,B-002,2026-04-07,2026-04-21,2026-04-14,L-002,desk
C-0075,S-409,B-043,2026-04-09,2026-04-23,2026-04-16,L-002,desk
C-0076,S-501,B-027,2026-04-09,2026-04-23,2026-04-16,L-002,desk
C-0077,S-507,B-017,2026-04-09,2026-04-23,2026-04-23,L-001,desk
C-0078,S-401,B-010,2026-04-10,2026-04-24,2026-04-17,L-001,desk
C-0079,S-409,B-011,2026-04-10,2026-04-24,2026-04-17,L-002,desk
C-0080,S-403,B-026,2026-04-14,2026-04-28,2026-04-28,L-002,desk
C-0081,S-302,B-002,2026-04-17,2026-05-01,2026-05-01,L-002,desk
C-0082,S-404,B-020,2026-04-17,2026-05-01,2026-04-24,L-002,desk
C-0083,S-307,B-042,2026-04-20,2026-05-04,2026-05-04,L-001,desk
C-0084,S-401,B-011,2026-04-20,2026-05-04,2026-05-11,L-001,desk
C-0085,S-504,B-007,2026-04-20,2026-05-04,2026-05-04,L-002,desk
C-0086,S-302,B-061,2026-04-21,2026-05-05,2026-05-05,L-002,desk
C-0087,S-503,B-051,2026-04-21,2026-05-05,2026-05-12,L-001,desk
C-0088,S-508,B-044,2026-04-21,2026-05-05,2026-05-05,L-002,desk
C-0089,S-510,B-053,2026-04-21,2026-05-05,2026-05-05,L-002,desk
C-0090,S-305,B-060,2026-04-23,2026-05-07,2026-05-07,L-001,desk
C-0091,S-402,B-012,2026-04-23,2026-05-07,2026-05-07,L-002,desk
C-0092,S-407,B-043,2026-04-23,2026-05-07,2026-04-30,L-001,desk
C-0093,S-409,B-013,2026-04-23,2026-05-07,2026-04-30,L-002,desk
C-0094,S-407,B-040,2026-04-27,2026-05-11,2026-05-04,L-002,desk
C-0095,S-305,B-062,2026-05-04,2026-05-18,2026-05-18,L-002,desk
C-0096,S-302,B-005,2026-05-06,2026-05-20,2026-05-13,L-002,desk
C-0097,S-306,B-022,2026-05-06,2026-05-20,2026-05-27,L-002,desk
C-0098,S-409,B-054,2026-05-07,2026-05-21,2026-05-21,L-002,desk
C-0099,S-306,B-043,2026-05-11,2026-05-25,2026-05-18,L-001,desk
C-0100,S-403,B-032,2026-05-12,2026-05-26,2026-05-26,L-002,desk
C-0101,S-502,B-017,2026-05-12,2026-05-26,2026-05-26,L-002,desk
C-0102,S-506,B-026,2026-05-12,2026-05-26,2026-05-19,L-002,desk
C-0103,S-306,B-001,2026-05-13,2026-05-27,2026-05-27,L-002,desk
C-0104,S-410,B-031,2026-05-13,2026-05-27,2026-05-20,L-001,desk
C-0105,S-409,B-017,2026-05-15,2026-05-29,2026-05-29,L-001,desk
C-0106,S-503,B-001,2026-05-15,2026-05-29,2026-05-29,L-001,desk
C-0107,S-307,B-034,2026-05-18,2026-06-01,2026-06-08,L-001,desk
C-0108,S-506,B-034,2026-05-18,2026-06-01,2026-06-01,L-002,desk
C-0109,S-508,B-021,2026-05-18,2026-06-01,2026-05-25,L-002,desk
C-0110,S-302,B-001,2026-05-20,2026-06-03,2026-05-27,L-002,desk
C-0111,S-308,B-004,2026-05-20,2026-06-03,2026-05-27,L-001,desk
C-0112,S-505,B-042,2026-05-21,2026-06-04,2026-06-04,L-001,desk
C-0113,S-510,B-051,2026-05-21,2026-06-04,2026-05-28,L-002,desk
C-0114,S-308,B-006,2026-05-22,2026-06-05,2026-05-29,L-001,desk
C-0115,S-407,B-022,2026-05-22,2026-06-05,2026-06-05,L-001,desk
C-0116,S-304,B-034,2026-05-25,2026-06-08,2026-06-08,L-002,desk
C-0117,S-307,B-063,2026-05-25,2026-06-08,2026-06-01,L-002,desk
C-0118,S-306,B-042,2026-05-26,2026-06-09,2026-06-09,L-001,desk
C-0119,S-407,B-042,2026-05-27,2026-06-10,2026-06-10,L-002,desk
C-0120,S-302,B-007,2026-05-28,2026-06-11,2026-06-04,L-001,desk
C-0121,S-305,B-063,2026-05-28,2026-06-11,2026-06-18,L-001,desk
C-0122,S-307,B-007,2026-05-28,2026-06-11,2026-06-11,L-001,desk
C-0123,S-407,B-042,2026-05-29,2026-06-12,2026-06-05,L-001,desk
C-0124,S-410,B-060,2026-05-29,2026-06-12,2026-06-19,L-001,desk
C-0125,S-505,B-041,2026-05-29,2026-06-12,2026-06-12,L-001,desk
C-0126,S-301,B-003,2026-06-01,2026-06-15,2026-06-22,L-001,desk
C-0127,S-303,B-041,2026-06-01,2026-06-15,2026-06-08,L-001,desk
C-0128,S-305,B-015,2026-06-02,2026-06-16,2026-06-16,L-001,desk
C-0129,S-503,B-053,2026-06-02,2026-06-16,2026-06-23,L-001,desk
C-0130,S-303,B-022,2026-06-03,2026-06-17,2026-06-24,L-001,desk
C-0131,S-305,B-015,2026-06-04,2026-06-18,2026-06-11,L-001,desk
C-0132,S-503,B-054,2026-06-04,2026-06-18,2026-06-11,L-002,desk
C-0133,S-409,B-012,2026-06-05,2026-06-19,2026-06-12,L-001,desk
C-0134,S-510,B-015,2026-06-05,2026-06-19,2026-06-26,L-002,desk
C-0135,S-501,B-026,2026-08-18,2026-09-01,2026-09-01,L-001,desk
C-0136,S-508,B-025,2026-08-18,2026-09-01,,L-001,desk
C-0137,S-402,B-014,2026-08-19,2026-09-02,2026-08-26,L-002,desk
C-0138,S-502,B-013,2026-08-19,2026-09-02,2026-09-02,L-002,desk
C-0139,S-506,B-033,2026-08-19,2026-09-02,2026-09-02,L-002,desk
C-0140,S-303,B-043,2026-08-20,2026-09-03,,L-002,desk
C-0141,S-401,B-015,2026-08-20,2026-09-03,2026-09-03,L-002,desk
C-0142,S-410,B-031,2026-08-20,2026-09-03,2026-09-03,L-002,desk
C-0143,S-507,B-026,2026-08-20,2026-09-03,,L-002,desk
C-0144,S-304,B-034,2026-08-21,2026-09-04,,L-001,desk
C-0145,S-307,B-006,2026-08-21,2026-09-04,,L-001,desk
C-0146,S-510,B-052,2026-08-21,2026-09-04,2026-09-04,L-001,desk
C-0147,S-306,B-015,2026-08-24,2026-09-07,,L-001,desk
C-0148,S-407,B-027,2026-08-24,2026-09-07,,L-002,desk
C-0149,S-408,B-054,2026-08-24,2026-09-07,,L-002,desk
C-0150,S-503,B-053,2026-08-24,2026-09-07,2026-08-31,L-002,desk
C-0151,S-506,B-032,2026-08-24,2026-09-07,2026-08-31,L-001,desk
C-0152,S-507,B-015,2026-08-24,2026-09-07,,L-002,desk
C-0153,S-301,B-007,2026-08-25,2026-09-08,2026-09-01,L-001,desk
C-0154,S-404,B-023,2026-08-25,2026-09-08,,L-001,desk
C-0155,S-406,B-001,2026-08-25,2026-09-08,2026-09-01,L-001,desk
C-0156,S-501,B-020,2026-08-25,2026-09-08,2026-09-01,L-001,desk
C-0157,S-505,B-045,2026-08-25,2026-09-08,,L-001,desk
C-0158,S-404,B-024,2026-08-26,2026-09-09,,L-001,desk
C-0159,S-405,B-062,2026-08-26,2026-09-09,,L-002,desk
C-0160,S-409,B-053,2026-08-26,2026-09-09,,L-001,desk
C-0161,S-301,B-002,2026-08-27,2026-09-10,,L-002,desk
C-0162,S-302,B-003,2026-08-27,2026-09-10,,L-001,desk
C-0163,S-303,B-040,2026-08-27,2026-09-10,2026-09-03,L-001,desk
C-0164,S-402,B-010,2026-08-27,2026-09-10,,L-002,desk
C-0165,S-504,B-025,2026-08-27,2026-09-10,2026-09-03,L-001,desk
C-0166,S-505,B-023,2026-08-27,2026-09-10,,L-002,desk
C-0167,S-508,B-008,2026-08-27,2026-09-10,,L-002,desk
C-0168,S-510,B-040,2026-08-27,2026-09-10,,L-001,desk
C-0169,S-409,B-010,2026-08-28,2026-09-11,,L-002,desk
C-0170,S-403,B-030,2026-08-31,2026-09-14,,L-001,desk
C-0171,S-406,B-006,2026-08-31,2026-09-14,,L-002,desk
C-0172,S-503,B-053,2026-08-31,2026-09-14,,L-001,desk
C-0173,S-305,B-061,2026-09-01,2026-09-15,,L-002,desk
C-0174,S-408,B-054,2026-09-02,2026-09-16,,L-002,desk
C-0175,S-304,B-034,2026-09-03,2026-09-17,,L-002,desk
C-0176,S-308,B-061,2026-09-03,2026-09-17,,L-002,desk
